VDS	ID	IREF	VGB
3.74096e+00	9.41746e-08	1.65280e-07	9.68652e-01
3.75121e+00	9.41850e-08	1.65281e-07	9.68653e-01
3.76118e+00	9.41284e-08	1.65282e-07	9.68653e-01
3.77110e+00	9.41812e-08	1.65278e-07	9.68664e-01
3.78104e+00	9.41726e-08	1.65280e-07	9.68654e-01
3.79093e+00	9.41745e-08	1.65279e-07	9.68640e-01
3.80122e+00	9.41808e-08	1.65275e-07	9.68658e-01
3.81119e+00	9.42112e-08	1.65279e-07	9.68655e-01
3.82111e+00	9.42003e-08	1.65275e-07	9.68642e-01
3.83104e+00	9.42234e-08	1.65274e-07	9.68635e-01
3.84099e+00	9.42353e-08	1.65277e-07	9.68672e-01
3.85124e+00	9.42198e-08	1.65275e-07	9.68662e-01
3.86114e+00	9.42016e-08	1.65273e-07	9.68659e-01
3.87112e+00	9.42061e-08	1.65273e-07	9.68660e-01
3.88103e+00	9.42257e-08	1.65271e-07	9.68650e-01
