VDS	ID	VGB
2.54091e+00	3.66125e-11	2.00008e+00
2.55085e+00	3.68743e-11	2.00007e+00
2.56084e+00	3.70618e-11	2.00008e+00
2.57111e+00	3.73440e-11	2.00007e+00
2.58104e+00	3.75839e-11	2.00008e+00
2.59099e+00	3.78445e-11	2.00007e+00
2.60090e+00	3.80423e-11	2.00007e+00
2.61083e+00	3.83438e-11	2.00007e+00
2.62110e+00	3.86795e-11	2.00007e+00
2.63102e+00	3.89304e-11	2.00007e+00
2.64099e+00	3.92283e-11	2.00008e+00
2.65099e+00	3.94989e-11	2.00006e+00
2.66121e+00	3.98108e-11	2.00006e+00
2.67106e+00	4.00555e-11	2.00007e+00
2.68098e+00	4.03060e-11	2.00007e+00
2.69091e+00	4.06471e-11	2.00007e+00
2.70088e+00	4.09163e-11	2.00007e+00
2.71118e+00	4.12252e-11	2.00007e+00
2.72115e+00	4.14935e-11	2.00008e+00
2.73110e+00	4.16687e-11	2.00007e+00
2.74100e+00	4.19598e-11	2.00007e+00
2.75086e+00	4.22492e-11	2.00007e+00
2.76110e+00	4.25949e-11	2.00007e+00
2.77103e+00	4.28793e-11	2.00007e+00
2.78103e+00	4.31825e-11	2.00007e+00
2.79095e+00	4.34868e-11	2.00007e+00
2.80082e+00	4.38735e-11	2.00008e+00
2.81110e+00	4.42245e-11	2.00007e+00
2.82107e+00	4.45875e-11	2.00007e+00
2.83105e+00	4.49016e-11	2.00007e+00
2.84091e+00	4.51974e-11	2.00007e+00
2.85084e+00	4.54966e-11	2.00007e+00
2.86110e+00	4.58573e-11	2.00008e+00
2.87108e+00	4.61408e-11	2.00008e+00
2.88097e+00	4.63744e-11	2.00007e+00
2.89097e+00	4.66487e-11	2.00007e+00
2.90091e+00	4.69593e-11	2.00006e+00
2.91115e+00	4.73599e-11	2.00006e+00
2.92106e+00	4.77024e-11	2.00006e+00
2.93101e+00	4.80337e-11	2.00007e+00
2.94093e+00	4.83344e-11	2.00006e+00
2.95088e+00	4.86635e-11	2.00007e+00
2.96112e+00	4.90596e-11	2.00007e+00
2.97101e+00	4.94018e-11	2.00007e+00
2.98099e+00	4.97648e-11	2.00007e+00
2.99093e+00	5.00833e-11	2.00007e+00
3.00088e+00	5.04432e-11	2.00008e+00
3.01115e+00	5.08169e-11	2.00007e+00
3.02106e+00	5.12255e-11	2.00007e+00
3.03104e+00	5.15187e-11	2.00007e+00
3.04095e+00	5.18262e-11	2.00007e+00
3.05085e+00	5.21024e-11	2.00006e+00
3.06112e+00	5.25176e-11	2.00006e+00
3.07111e+00	5.28953e-11	2.00006e+00
3.08104e+00	5.32588e-11	2.00007e+00
3.09096e+00	5.35827e-11	2.00007e+00
3.10097e+00	5.39354e-11	2.00007e+00
3.11117e+00	5.43599e-11	2.00006e+00
3.12112e+00	5.47192e-11	2.00007e+00
3.13108e+00	5.50866e-11	2.00007e+00
3.14095e+00	5.54849e-11	2.00006e+00
3.15093e+00	5.58960e-11	2.00007e+00
3.16117e+00	5.63416e-11	2.00007e+00
3.17107e+00	5.67493e-11	2.00007e+00
3.18102e+00	5.71241e-11	2.00006e+00
3.19094e+00	5.75484e-11	2.00006e+00
3.20095e+00	5.78949e-11	2.00005e+00
3.21121e+00	5.82744e-11	2.00005e+00
3.22110e+00	5.86685e-11	2.00006e+00
3.23104e+00	5.90761e-11	2.00005e+00
3.24096e+00	5.95137e-11	2.00007e+00
3.25094e+00	5.99139e-11	2.00007e+00
3.26120e+00	6.04097e-11	2.00007e+00
3.27107e+00	6.08449e-11	2.00006e+00
3.28112e+00	6.12482e-11	2.00006e+00
3.29099e+00	6.16763e-11	2.00006e+00
3.30095e+00	6.20898e-11	2.00006e+00
3.31113e+00	6.26004e-11	2.00006e+00
3.32111e+00	6.30394e-11	2.00006e+00
3.33108e+00	6.34766e-11	2.00007e+00
3.34104e+00	6.39237e-11	2.00006e+00
3.35124e+00	6.44335e-11	2.00006e+00
3.36116e+00	6.47923e-11	2.00007e+00
3.37110e+00	6.51389e-11	2.00007e+00
3.38109e+00	6.56055e-11	2.00007e+00
3.39102e+00	6.60470e-11	2.00007e+00
3.40129e+00	6.65557e-11	2.00007e+00
3.41117e+00	6.68905e-11	2.00007e+00
3.42108e+00	6.73858e-11	2.00007e+00
3.43101e+00	6.78329e-11	2.00007e+00
3.44090e+00	6.83118e-11	2.00006e+00
3.45121e+00	6.88752e-11	2.00007e+00
3.46114e+00	6.93788e-11	2.00007e+00
3.47110e+00	6.98328e-11	2.00007e+00
3.48102e+00	7.03049e-11	2.00007e+00
3.49093e+00	7.07155e-11	2.00007e+00
3.50120e+00	7.12680e-11	2.00007e+00
3.51115e+00	7.17527e-11	2.00006e+00
3.52106e+00	7.21682e-11	2.00007e+00
3.53108e+00	7.25831e-11	2.00008e+00
3.54104e+00	7.30793e-11	2.00007e+00
3.55131e+00	7.36535e-11	2.00007e+00
3.56118e+00	7.41084e-11	2.00008e+00
3.57114e+00	7.46834e-11	2.00007e+00
3.58104e+00	7.52224e-11	2.00008e+00
3.59097e+00	7.57424e-11	2.00007e+00
3.60123e+00	7.63887e-11	2.00007e+00
3.61116e+00	7.69136e-11	2.00007e+00
3.62114e+00	7.74432e-11	2.00007e+00
3.63110e+00	7.79283e-11	2.00007e+00
3.64105e+00	7.85161e-11	2.00007e+00
3.65127e+00	7.90992e-11	2.00007e+00
3.66120e+00	7.96123e-11	2.00006e+00
3.67111e+00	8.01570e-11	2.00007e+00
3.68110e+00	8.06239e-11	2.00007e+00
3.69102e+00	8.10626e-11	2.00007e+00
3.70121e+00	8.17008e-11	2.00007e+00
3.71120e+00	8.24118e-11	2.00007e+00
3.72118e+00	8.29933e-11	2.00007e+00
3.73113e+00	8.35153e-11	2.00008e+00
3.74104e+00	8.40793e-11	2.00007e+00
3.75129e+00	8.47510e-11	2.00007e+00
3.76125e+00	8.53351e-11	2.00007e+00
3.77113e+00	8.59423e-11	2.00008e+00
3.78101e+00	8.64775e-11	2.00008e+00
3.79094e+00	8.70502e-11	2.00007e+00
3.80120e+00	8.77740e-11	2.00008e+00
3.81118e+00	8.84008e-11	2.00008e+00
3.82114e+00	8.90113e-11	2.00008e+00
3.83106e+00	8.96009e-11	2.00007e+00
3.84103e+00	9.00994e-11	2.00006e+00
3.85122e+00	9.06842e-11	2.00006e+00
3.86118e+00	9.13073e-11	2.00006e+00
3.87113e+00	9.19113e-11	2.00007e+00
3.88106e+00	9.26009e-11	2.00007e+00
3.89105e+00	9.32591e-11	2.00007e+00
3.90129e+00	9.39801e-11	2.00007e+00
3.91122e+00	9.46681e-11	2.00006e+00
3.92111e+00	9.52930e-11	2.00007e+00
3.93108e+00	9.59755e-11	2.00006e+00
3.94104e+00	9.66160e-11	2.00007e+00
3.95128e+00	9.74032e-11	2.00006e+00
3.96125e+00	9.81452e-11	2.00006e+00
3.97113e+00	9.88404e-11	2.00007e+00
3.98105e+00	9.94887e-11	2.00007e+00
3.99104e+00	1.00175e-10	2.00007e+00
4.00131e+00	1.00916e-10	2.00007e+00
4.01127e+00	1.01468e-10	2.00007e+00
4.02118e+00	1.02125e-10	2.00007e+00
4.03110e+00	1.02789e-10	2.00007e+00
4.04129e+00	1.03641e-10	2.00006e+00
4.05122e+00	1.04443e-10	2.00007e+00
4.06120e+00	1.05181e-10	2.00007e+00
4.07113e+00	1.05891e-10	2.00007e+00
4.08111e+00	1.06627e-10	2.00007e+00
4.09135e+00	1.07486e-10	2.00007e+00
4.10136e+00	1.08201e-10	2.00007e+00
4.11129e+00	1.08912e-10	2.00006e+00
4.12119e+00	1.09650e-10	2.00007e+00
4.13111e+00	1.10088e-10	2.00007e+00
4.14136e+00	1.11061e-10	2.00007e+00
4.15130e+00	1.11880e-10	2.00007e+00
4.16125e+00	1.12562e-10	2.00007e+00
4.17115e+00	1.13198e-10	2.00007e+00
4.18115e+00	1.13998e-10	2.00008e+00
4.19138e+00	1.15012e-10	2.00007e+00
4.20127e+00	1.15808e-10	2.00008e+00
4.21121e+00	1.16597e-10	2.00007e+00
4.22113e+00	1.17408e-10	2.00007e+00
4.23106e+00	1.18242e-10	2.00007e+00
4.24133e+00	1.19171e-10	2.00007e+00
4.25125e+00	1.19838e-10	2.00007e+00
4.26115e+00	1.20739e-10	2.00007e+00
4.27114e+00	1.21628e-10	2.00007e+00
4.28113e+00	1.22422e-10	2.00007e+00
4.29132e+00	1.23476e-10	2.00007e+00
4.30126e+00	1.24350e-10	2.00007e+00
4.31120e+00	1.25202e-10	2.00007e+00
4.32111e+00	1.25688e-10	2.00006e+00
