VGB	ID	VDS
1.14006e+00	4.06471e-07	1.05244e-02
1.15005e+00	4.54930e-07	1.05249e-02
1.16007e+00	5.07644e-07	1.05238e-02
1.17006e+00	5.64475e-07	1.05219e-02
1.18004e+00	6.25145e-07	1.05220e-02
1.19006e+00	6.90521e-07	1.05227e-02
1.20006e+00	7.60027e-07	1.05219e-02
1.21004e+00	8.33031e-07	1.05230e-02
1.22007e+00	9.10464e-07	1.05213e-02
1.23005e+00	9.91603e-07	1.05212e-02
1.24004e+00	1.07676e-06	1.05223e-02
1.25006e+00	1.16545e-06	1.05206e-02
1.26005e+00	1.25766e-06	1.05207e-02
1.27004e+00	1.35312e-06	1.05212e-02
1.28007e+00	1.45271e-06	1.05209e-02
1.29005e+00	1.55419e-06	1.05217e-02
1.30008e+00	1.65940e-06	1.05203e-02
1.31006e+00	1.76617e-06	1.05210e-02
1.32005e+00	1.87597e-06	1.05213e-02
1.33007e+00	1.98864e-06	1.05186e-02
1.34006e+00	2.10222e-06	1.05194e-02
1.35005e+00	2.21832e-06	1.05185e-02
1.36008e+00	2.33728e-06	1.05172e-02
1.37007e+00	2.45694e-06	1.05185e-02
1.38005e+00	2.57834e-06	1.05177e-02
1.39007e+00	2.70251e-06	1.05183e-02
1.40006e+00	2.82627e-06	1.05172e-02
1.41005e+00	2.95115e-06	1.05159e-02
1.42007e+00	3.07862e-06	1.05171e-02
1.43006e+00	3.20653e-06	1.05164e-02
1.44003e+00	3.33431e-06	1.05177e-02
1.45006e+00	3.46461e-06	1.05190e-02
1.46004e+00	3.59549e-06	1.05187e-02
1.47003e+00	3.72617e-06	1.05190e-02
1.48005e+00	3.85835e-06	1.05191e-02
1.49004e+00	3.99024e-06	1.05196e-02
1.50003e+00	4.12326e-06	1.05177e-02
1.51005e+00	4.25611e-06	1.05190e-02
1.52004e+00	4.39070e-06	1.05183e-02
1.53006e+00	4.52504e-06	1.05212e-02
1.54005e+00	4.65855e-06	1.05204e-02
1.55004e+00	4.79155e-06	1.05177e-02
1.56006e+00	4.92697e-06	1.05172e-02
1.57005e+00	5.06225e-06	1.05157e-02
1.58004e+00	5.19628e-06	1.05174e-02
1.59006e+00	5.33124e-06	1.05148e-02
1.60004e+00	5.46534e-06	1.05154e-02
1.61003e+00	5.59952e-06	1.05154e-02
1.62005e+00	5.73419e-06	1.05135e-02
1.63004e+00	5.86930e-06	1.05132e-02
1.64003e+00	6.00229e-06	1.05111e-02
1.65005e+00	6.13770e-06	1.05101e-02
1.66004e+00	6.27319e-06	1.05108e-02
1.67003e+00	6.40762e-06	1.05114e-02
1.68005e+00	6.54205e-06	1.05116e-02
1.69004e+00	6.67554e-06	1.05130e-02
1.70003e+00	6.80998e-06	1.05107e-02
1.71005e+00	6.94313e-06	1.05094e-02
1.72003e+00	7.07698e-06	1.05101e-02
1.73002e+00	7.21126e-06	1.05117e-02
1.74004e+00	7.34533e-06	1.05122e-02
1.75003e+00	7.47839e-06	1.05128e-02
1.76001e+00	7.61115e-06	1.05116e-02
1.77004e+00	7.74441e-06	1.05117e-02
1.78002e+00	7.87637e-06	1.05118e-02
1.79005e+00	8.00712e-06	1.05119e-02
1.80003e+00	8.13916e-06	1.05106e-02
1.81002e+00	8.26938e-06	1.05095e-02
1.82004e+00	8.40029e-06	1.05107e-02
1.83003e+00	8.53192e-06	1.05114e-02
1.84001e+00	8.66317e-06	1.05103e-02
1.85003e+00	8.79243e-06	1.05097e-02
1.86001e+00	8.92213e-06	1.05093e-02
1.87001e+00	9.05294e-06	1.05102e-02
1.88003e+00	9.18159e-06	1.05102e-02
1.89001e+00	9.31129e-06	1.05110e-02
1.90000e+00	9.43937e-06	1.05106e-02
1.91002e+00	9.56871e-06	1.05102e-02
1.92000e+00	9.69704e-06	1.05108e-02
1.92999e+00	9.82248e-06	1.05114e-02
1.94001e+00	9.95203e-06	1.05094e-02
1.95000e+00	1.00783e-05	1.05181e-02
1.95999e+00	1.02084e-05	1.05171e-02
1.97001e+00	1.03369e-05	1.05179e-02
1.97999e+00	1.04621e-05	1.05177e-02
1.98998e+00	1.05876e-05	1.05159e-02
2.00000e+00	1.07099e-05	1.05146e-02
2.01017e+00	1.08344e-05	1.05150e-02
2.02045e+00	1.09609e-05	1.05145e-02
2.03037e+00	1.10842e-05	1.05150e-02
2.04028e+00	1.12100e-05	1.05150e-02
2.05026e+00	1.13332e-05	1.05128e-02
2.06019e+00	1.14533e-05	1.05132e-02
2.07046e+00	1.15820e-05	1.05122e-02
2.08039e+00	1.17019e-05	1.05134e-02
2.09032e+00	1.18248e-05	1.05134e-02
2.10022e+00	1.19462e-05	1.05123e-02
2.11018e+00	1.20648e-05	1.05127e-02
2.12043e+00	1.21875e-05	1.05128e-02
2.13039e+00	1.23118e-05	1.05129e-02
2.14031e+00	1.24298e-05	1.05109e-02
2.15026e+00	1.25484e-05	1.05125e-02
2.16019e+00	1.26683e-05	1.05120e-02
2.17043e+00	1.27898e-05	1.05138e-02
2.18039e+00	1.29134e-05	1.05141e-02
2.19032e+00	1.30297e-05	1.05141e-02
2.20027e+00	1.31455e-05	1.05132e-02
2.21020e+00	1.32635e-05	1.05155e-02
2.22048e+00	1.33815e-05	1.05122e-02
2.23041e+00	1.34989e-05	1.05116e-02
2.24034e+00	1.36119e-05	1.05111e-02
2.25030e+00	1.37274e-05	1.05104e-02
2.26022e+00	1.38470e-05	1.05105e-02
2.27048e+00	1.39642e-05	1.05106e-02
2.28043e+00	1.40793e-05	1.05102e-02
2.29040e+00	1.41955e-05	1.05106e-02
2.30035e+00	1.43111e-05	1.05098e-02
2.31026e+00	1.44246e-05	1.05100e-02
2.32054e+00	1.45418e-05	1.05102e-02
2.33047e+00	1.46570e-05	1.05111e-02
2.34041e+00	1.47702e-05	1.05124e-02
2.35034e+00	1.48835e-05	1.05108e-02
2.36030e+00	1.49967e-05	1.05112e-02
2.37056e+00	1.51117e-05	1.05094e-02
2.38050e+00	1.52261e-05	1.05102e-02
2.39042e+00	1.53362e-05	1.05095e-02
2.40036e+00	1.54458e-05	1.05100e-02
